Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
UN-3034;;12B;200;Untersee;Berlingen;2;10;14.35;7.78;5.03;s; 2’163’829.00 ;96.88; 2’096’317.54 
UN-3036;;15A;200;Untersee;Berlingen;2;10;14.1;8.49;5.41;s; 2’302’124.00 ;96.68; 2’225’693.48 
UN-3027;;15A;200;Untersee;Berlingen;2;10;15.24;8.9;6;sd; 2’635’444.00 ;96.62; 2’546’365.99 
UN-3030;;17A;200;Untersee;Berlingen;2;10;14.45;7.89;4.94;s; 2’686’791.00 ;96.79; 2’600’545.01 
UN-3028;;16A;200;Untersee;Berlingen;2;10;14.63;8.4;8.24;s; 2’718’277.00 ;96.77; 2’630’476.65 
UN-3038;;16A;200;Untersee;Berlingen;2;10;16.88;9.09;5.64;s; 3’151’047.00 ;96.54; 3’042’020.77 
UN-3035;;14A;200;Untersee;Berlingen;2;10;15.3;8.34;5.46;s; 3’217’656.00 ;96.47; 3’104’072.74 
UN-3037;;15B;200;Untersee;Berlingen;2;10;13.97;7.2;4.63;s; 3’652’341.00 ;96.71; 3’532’178.98 
UN-3040;;17B;200;Untersee;Berlingen;2;10;15.94;8.54;5.87;s; 3’710’485.00 ;96.81; 3’592’120.53 
UN-3041;;10A;200;Untersee;Berlingen;2;10;14.75;8.35;5.26;s; 3’727’054.00 ;96.81; 3’608’160.98 
UN-3033;;12A;200;Untersee;Berlingen;2;10;15;8.44;5.25;s; 4’446’200.00 ;96.73; 4’300’809.26 
BO-5351;;10B;196.21;Obersee;Bregenz;1;1;13.26;7.72;5.16;s; 541’261.00 ;96.99; 524’969.04 
BO-5348;;16B;200;Obersee;Bregenz;1;1;14.28;8.27;5.88;s; 1’435’089.00 ;96.4; 1’383’425.80 
BO-5353;;12A;200;Obersee;Bregenz;1;1;15.27;9.3;5.95;s; 1’718’332.00 ;96.82; 1’663’689.04 
BO-5350;;10A;197.08;Obersee;Bregenz;1;1;13.41;7.71;4.52;s; 2’002’387.00 ;96.97; 1’941’714.67 
BO-5354;;12B;200;Obersee;Bregenz;1;1;14.9;9.37;5.9;s; 2’129’011.00 ;96.73; 2’059’392.34 
BO-5355;;13B;200;Obersee;Bregenz;1;1;12.22;7.58;4.93;s; 2’201’603.00 ;96.74; 2’129’830.74 
BO-5358;;10B;200;Obersee;Bregenz;1;1;13.22;7.93;5.12;s; 2’778’942.00 ;96.46; 2’680’567.45 
