Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
UN-3160;x;13A;200;Untersee;Reichenau;1;1;17.84;9.61;7.55;s; 1’171’151 ;96.89; 1’134’728 
UN-3161;x;13B;200;Untersee;Reichenau;1;1;14.8;8.93;6.65;s; 1’745’720 ;96.75; 1’688’984 
UN-3183;x;14B;200;Untersee;Reichenau;2;1;15.37;9;6.72;s; 1’621’889 ;96.5; 1’565’123 
UN-3184;x;15A;200;Untersee;Reichenau;2;1;14.13;8.28;5.28;s; 2’891’223 ;96.63; 2’793’789 
UN-3185;x;16A;200;Untersee;Reichenau;2;1;13.93;7.91;4.64;s; 1’802’584 ;96.73; 1’743’640 
UN-3186;x;16B;200;Untersee;Reichenau;2;1;13.3;8.12;5.87;s; 1’938’236 ;96.62; 1’872’724 
UN-3187-1;x;;;Untersee;Reichenau;2;1;15.82;9.74;6.93;s; 9’702’359 ;96.73; 9’385’092 
UN-3188;x;17A;207.27;Untersee;Reichenau;2;1;13.62;9.1;6.05;s; 2’020’980 ;96.6; 1’952’267 
UN-3190;x;10A;200;Untersee;Reichenau;2;1;12.67;8.35;5.93;s; 3’413’237 ;96.73; 3’301’624 
UN-3192;x;11B;200;Untersee;Reichenau;2;1;12.78;8.11;5.38;s; 3’950’554 ;96.59; 3’815’840 
UN-3193;x;12A;200;Untersee;Reichenau;2;1;15.04;8.36;5.4;s; 3’423’776 ;96.68; 3’310’107 
UN-3194;x;13A;200;Untersee;Reichenau;2;1;13.33;8.36;5.61;s; 1’806’031 ;96.36; 1’740’291 
